lat,lon,n,year,month,day,ozone,ozone_max,hour_max,aqi,pressure,humidity,temp,windsp,winddir
33.83062,-117.93845,24,2002,3,30,0.025667,0.044,11,37,29.816667,84.166667,58.166667,0,0
33.83062,-117.93845,24,2002,3,31,0.032458,0.056,10,47,29.741667,87.166667,58.708333,0,0
33.83062,-117.93845,24,2002,4,1,0.040167,0.052,12,44,28.4625,87.25,54.416667,0,0
33.83062,-117.93845,24,2002,4,2,0.040333,0.045,10,38,29.716667,85.541667,56.708333,0.829167,56.75
33.83062,-117.93845,24,2002,4,3,0.030167,0.039,11,33,29.779167,83.333333,56.208333,3.654167,247.75
33.83062,-117.93845,24,2002,4,4,0.021458,0.04,10,34,29.8375,72.416667,58.416667,3.079167,212.083333
33.83062,-117.93845,24,2002,4,5,0.016333,0.027,9,23,29.833333,76.458333,56.625,2.8875,205.666667
33.83062,-117.93845,24,2002,4,6,0.022167,0.034,10,29,29.7,81.625,58.125,4.2875,217.416667
33.83062,-117.93845,24,2002,4,7,0.029292,0.038,9,32,29.725,79.833333,58.833333,3.645833,174.666667
33.83062,-117.93845,24,2002,4,8,0.020167,0.035,10,30,29.816667,80.083333,60.291667,2.991667,194.625
33.83062,-117.93845,24,2002,4,9,0.016792,0.041,10,35,29.9125,84.791667,59.208333,2.916667,226.583333
33.83062,-117.93845,24,2002,4,10,0.022958,0.039,10,33,29.745833,63.166667,59.208333,1.383333,189.208333
33.83062,-117.93845,24,2002,4,11,0.032125,0.047,12,40,29.791667,71.458333,61.083333,2.279167,202.333333
33.83062,-117.93845,24,2002,4,12,0.027292,0.036,13,31,29.770833,71.166667,59.583333,3.2375,219.125
33.83062,-117.93845,24,2002,4,13,0.033833,0.056,12,47,29.729167,79.583333,63.916667,3.175,193.25
33.83062,-117.93845,24,2002,4,14,0.050292,0.063,12,61,29.654167,88.333333,60.458333,3.975,217.958333
33.83062,-117.93845,24,2002,4,15,0.031583,0.042,0,36,29.591667,84.916667,58.708333,4.95,184.5
33.83062,-117.93845,24,2002,4,16,0.033292,0.046,10,39,29.770833,71.833333,58.5,3.833333,188.75
33.83062,-117.93845,24,2002,4,17,0.024708,0.042,9,36,29.825,68.458333,58.208333,4.183333,210.583333
33.83062,-117.93845,24,2002,4,18,0.025875,0.044,10,37,29.783333,66.416667,57.458333,4.2,179.958333
33.83062,-117.93845,24,2002,4,19,0.024708,0.042,10,36,29.716667,62.583333,59.125,4.341667,168.666667
33.83062,-117.93845,24,2002,4,20,0.024083,0.046,9,39,29.779167,71.708333,59.458333,4.0125,174.916667
